call_id,caller_number,callee_number,call_start_time,call_end_time,call_duration,call_type,call_notes
CALL016,(807)687-3552,329.966.0300x00038,2025-01-30T02:52:58,2025-01-30T03:38:45,2747,voicemail,
CALL017,(726)206-8374,+1-373-277-4236x01450,2024-08-24T10:22:06,2024-08-24T11:13:06,3060,incoming,Next figure born message party chair. Style road politics imagine note lead anything.
CALL018,(869)237-5617,+1-991-411-4930x39404,2024-06-09T01:37:04,2024-06-09T02:26:46,2982,missed,
CALL019,971.488.4645x36529,(596)594-6910x7334,2024-10-30T00:23:43,2024-10-30T00:58:09,2066,outgoing,
CALL020,(203)636-1155x15620,567-282-2999,2024-12-30T00:11:05,2024-12-30T01:01:24,3019,voicemail,
CALL021,551-524-5900x5927,001-772-857-0244x9833,2024-12-11T06:42:56,2024-12-11T07:01:13,1097,missed,Increase drug someone employee they item. Mr assume inside fill standard him.
CALL022,517-714-6666,825-882-4768,2024-11-11T13:58:18,2024-11-11T14:06:11,473,voicemail,Minute professional control heart key. Report out start which inside also.
CALL023,239-844-0217,415.304.0174,2024-03-01T22:48:03,2024-03-01T23:12:17,1454,missed,Arrive war hand street. Outside son position carry treat allow.
CALL024,430.228.2101x4161,291.789.8149,2024-10-08T05:30:02,2024-10-08T05:41:46,704,incoming,
CALL025,001-357-876-1745,001-945-786-4902x50737,2024-03-21T03:56:55,2024-03-21T04:09:03,728,incoming,
CALL026,636-929-6125,420-455-7338x06033,2024-05-21T03:20:19,2024-05-21T03:56:32,2173,outgoing,"Walk debate evening eight. Find ok bring cold all fly raise.
Majority professional baby push in."
CALL027,(296)345-8282x071,(839)629-4252x0925,2024-12-18T16:59:33,2024-12-18T17:23:11,1418,missed,Class character off test. Wonder six product itself organization item.
CALL028,(554)322-3290x208,795.421.4454x8181,2024-11-05T13:42:24,2024-11-05T14:29:58,2854,voicemail,
CALL029,+1-554-618-7091x21243,001-390-863-4590x60554,2024-11-26T23:07:45,2024-11-26T23:51:56,2651,outgoing,
CALL030,(547)787-5208x406,(887)798-0877x9431,2024-07-15T05:54:01,2024-07-15T06:50:33,3392,missed,
CALL031,689.414.5699,(972)381-2607x35820,2024-07-09T11:15:36,2024-07-09T12:11:46,3370,outgoing,Money appear blood most. Nor how own more.
CALL032,685-771-7752x86962,761.796.4932,2024-02-22T03:58:54,2024-02-22T04:54:13,3319,missed,Day down force. Old one material want four establish.
CALL033,512-963-5428x0434,001-957-744-0577x6637,2024-12-19T10:56:49,2024-12-19T11:36:21,2372,voicemail,
CALL034,976.741.5854,998.996.5536x57801,2024-08-19T11:55:51,2024-08-19T12:15:26,1175,voicemail,Care probably thank since beautiful. Into change set here hope travel.
CALL035,001-479-457-3050,255.534.3465,2024-11-21T07:05:30,2024-11-21T07:15:23,593,missed,
CALL036,+1-957-943-4601x8814,(254)937-7543,2024-06-09T20:11:40,2024-06-09T21:10:21,3521,outgoing,Floor store whose soon fund. Career spring because federal.
CALL037,(643)679-7302x5701,484-631-2448,2024-12-31T06:29:46,2024-12-31T07:13:56,2650,outgoing,City someone place instead lay position. Section card claim behavior.
CALL038,240-701-1921,+1-202-391-2233x3301,2024-07-30T17:54:43,2024-07-30T18:05:24,641,outgoing,Letter seven your standard run. High special mean else town someone.
CALL039,(239)538-5082x762,+1-466-539-5335x35708,2024-03-04T12:02:16,2024-03-04T12:23:22,1266,incoming,Card artist very politics include. Wife score send many fast recent.
CALL040,407-945-0237x90361,546.501.9230x3218,2024-07-07T18:46:35,2024-07-07T19:25:15,2320,missed,
CALL041,001-915-976-9861x1263,481.777.4319x7219,2024-02-23T12:18:08,2024-02-23T12:46:22,1694,missed,Picture let indeed. Some offer ahead her.
CALL042,742-334-0935,904.726.5337,2024-07-03T17:04:52,2024-07-03T17:15:51,659,incoming,
CALL043,(252)922-4377,343.921.3689,2024-05-29T23:24:59,2024-05-29T23:28:04,185,incoming,Indeed seem window why.
CALL044,001-666-789-3428x1082,291.861.1586x6236,2024-10-03T09:40:49,2024-10-03T10:38:03,3434,outgoing,
CALL045,8635904668,582-209-6640,2024-07-05T22:30:02,2024-07-05T22:44:23,861,voicemail,
CALL046,+1-211-848-4708x2717,8817876456,2024-09-25T20:07:57,2024-09-25T20:26:19,1102,missed,
CALL047,(314)490-2330x66450,001-785-488-5788,2024-04-17T13:05:05,2024-04-17T13:19:52,887,incoming,
CALL048,508.587.4650x737,4756792978,2024-07-10T11:11:03,2024-07-10T12:07:20,3377,voicemail,"Move bad weight wish evening address no.
Blood often unit dinner lead spend shoulder."
CALL049,001-228-998-1653x73342,(519)896-5719x1716,2024-12-25T08:43:18,2024-12-25T09:24:17,2459,voicemail,
CALL050,697.302.7139x3400,+1-387-476-7066x0604,2024-07-19T15:29:08,2024-07-19T16:25:24,3376,incoming,Risk sure can who any. Effort first quickly.
